name	version	description	downloads_monthly	repository	homepage	license	keywords	published	updated	featured
@dotdo/client	0.3.0	Cap'n Web RPC Client SDK for Durable Objects with automatic promise pipelining	254	https://github.com/dotdo-dev/dotdo	https://dotdo.dev	MIT	dotdo,durable-objects,cloudflare,cloudflare-workers,rpc,websocket,client,capnweb,promise-pipelining,edge,real-time,sdk	2026-01-10T22:35:20.735Z	2026-01-12T11:58:42.864Z	true
@dotdo/types	0.2.0	Shared types for the @dotdo ecosystem and *.do packages	710	https://github.com/dotdo/types	https://github.com/dotdo/types#readme	MIT	types,typescript,dotdo,json-ld,semantic,rpc,workflow,api,agents,ai,business-as-code	2026-01-26T14:39:58.679Z	2026-01-26T18:51:59.703Z	false
@dotdo/oauth	0.1.7	OAuth 2.1 server implementation for MCP - the leaf package with zero dependencies on @dotdo/do or oauth.do	571	https://github.com/drivly/oauth.do	https://oauth.do	MIT	oauth,oauth2,oauth2.1,mcp,model-context-protocol,authentication,authorization,cloudflare-workers,hono	2026-01-24T14:54:10.527Z	2026-01-27T15:30:04.648Z	false
@dotdo/collections	0.1.1	MongoDB-style document store on Durable Object SQLite	432	https://github.com/dot-do/collections.do	https://github.com/dot-do/collections.do#readme	MIT	collections,mongodb,document-store,durable-objects,cloudflare,workers,sqlite,nosql	2026-01-26T14:46:54.145Z	2026-01-27T15:28:13.960Z	false
@dotdo/fsx	0.1.4	Pure POSIX filesystem implementation in TypeScript. Zero dependencies. Self-hostable. FsBackend interface for pluggable storage.	426	https://github.com/dot-do/fsx	https://fsx.do	MIT	filesystem,posix,virtual-fs,fs,glob,grep,find,backend,storage,typescript,zero-dependencies,self-hostable,edge,workers,ai-agents	2026-01-23T18:21:36.167Z	2026-01-26T16:00:50.488Z	false
@dotdo/postgres-shared	0.1.2	Shared utilities and types for dotdo postgres packages	311	https://github.com/dot-do/postgres	https://github.com/dot-do/postgres#readme	MIT	postgres,postgresql,cloudflare,workers,durable-objects,shared,errors,logging,circuit-breaker,cache,validation,utilities	2026-01-22T15:59:10.696Z	2026-01-24T17:13:18.158Z	false
@dotdo/capnweb	0.4.0	JavaScript/TypeScript-native RPC library with Promise Pipelining - optimized for Cloudflare Workers	308	https://github.com/dot-do/capnweb	https://github.com/dot-do/capnweb#readme	MIT		2026-01-26T14:43:02.873Z	2026-01-26T14:43:03.202Z	false
@dotdo/do	0.1.6	Digital Object - Every business entity IS a Durable Object. Unified edge-native platform with CRUD APIs, SDK, AI, payments, and more.	304	https://github.com/dot-do/do	https://do.md	MIT	durable-objects,cloudflare,cloudflare-workers,edge,typescript,rpc,api,crud,sdk,hono,ai,mcp,digital-object	2026-01-23T19:56:19.572Z	2026-01-26T16:01:33.487Z	false
@dotdo/electric	0.1.1	ElectricSQL integration for local-first sync with PGLite and Cloudflare Workers	282	https://github.com/dot-do/postgres	https://github.com/dot-do/postgres#readme	MIT	electric,electricsql,sync,local-first,offline-first,pglite,postgres,cloudflare,workers,durable-objects,durable-streams,durable-sessions	2026-01-22T15:58:35.255Z	2026-01-24T15:48:54.599Z	false
@dotdo/postgres	0.1.3	PostgreSQL server for Cloudflare Workers/DOs with PGLite WASM and tiered storage	261	https://github.com/dot-do/postgres	https://github.com/dot-do/postgres#readme	MIT	postgres,postgresql,pglite,wasm,cloudflare,workers,durable-objects,serverless,iceberg,parquet,time-travel	2026-01-22T15:59:28.627Z	2026-01-25T13:47:33.285Z	false
@dotdo/react	1.0.0	React hooks and components for dotdo Durable Objects - real-time sync, live queries, and admin UI	260	https://github.com/dotdo-dev/dotdo	https://dotdo.dev	MIT	dotdo,react,react-hooks,durable-objects,cloudflare,cloudflare-workers,real-time,sync,live-query,websocket,edge,tanstack-query	2026-01-10T22:35:34.071Z	2026-01-12T11:58:48.823Z	false
@dotdo/pg-geo	0.1.1	PostGIS-like geospatial capabilities with Turf.js + R-tree + PGlite + Cap'n Web RPC	247			MIT	geospatial,gis,postgis,turf,pglite,cloudflare,durable-objects,workers,edge,rpc,capnweb	2026-01-22T15:58:49.867Z	2026-01-24T15:49:10.103Z	false
@dotdo/pglite	0.1.4	PGlite fork with Cloudflare Workers compatibility. Original PGlite is a WASM Postgres build packaged into a TypeScript client library.	229	https://github.com/dot-do/pglite	https://github.com/dot-do/pglite	Apache-2.0	postgres,sql,database,wasm,client,pglite,cloudflare,workers	2026-01-22T15:59:47.342Z	2026-01-25T13:47:45.985Z	false
